name_en|name_fr|code_hs4
Live horses asses mules and hinnies|Chevaux ânes mulets et bardots vivants|101
Live horses (excl. pure-bred for breeding)|Chevaux vivants (à lexcl. des animaux reproducteurs de race pure)|101
Vessels and other floating structures for breaking up|Bateaux et autres engins flottants à dépecer|8908
Copper ores and concentrates|Minerais de cuivre et leurs concentrés|2603
Natural honey|Miel naturel|409
Turtles eggs birds nests and other edible products of animal origin n.e.s.|Oeufs de tortues nids de salanganes et autres produits comestibles dorigine animale n.d.a.|410
Human hair unworked whether or not washed or scoured waste of human hair|Cheveux bruts même lavés ou dégraissés déchets de cheveux|501
Tomatoes fresh or chilled|Tomates à létat frais ou réfrigéré|702
Live bovine animals|Animaux vivants de lespèce bovine|102
Guts bladders and stomachs of animals (other than fish) whole and pieces thereof fresh chilled frozen salted in brine dried or smoked|Boyaux vessies et estomacs danimaux (autres que ceux de poissons) entiers ou en morceaux à létat frais réfrigéré congelé salé ou en saumure séché ou fumé|504
Coral and similar materials shells of molluscs crustaceans or echinoderms cuttle-bone powder and waste thereof unworked or simply prepared but not otherwise worked or cut to shape|Corail et matières simil. bruts ou simpl. préparés mais non autrement travaillés coquilles et carapaces de mollusques de crustacés ou déchinodermes et os de seiches bruts ou simpl. préparés mais non découpés en forme leurs poudres et leurs déchets|508
Pure-bred cattle for breeding|Bovins domestiques reproducteurs de race pure|102
Unroasted iron pyrites|Pyrites de fer non grillées|2502
Live cattle (excl. pure-bred for breeding)|Bovins domestiques vivants (à lexcl. des animaux reproducteurs de race pure)|102
Live cattle of a weight > 160 kg but <= 300 kg (excl. for slaughter pure-bred for breeding)|Bovins domestiques vivants d’un poids > 160 kg mais <= 300 kg (à l’excl. des animaux reproducteurs de race pure et des animaux destinés à la boucherie)|102
Ambergris castoreum civet and musk cantharides bile whether or not dried glands and other animal products used in the preparation of pharmaceutical products fresh chilled frozen or otherwise provisionally preserved|Ambre gris castoréum civette et musc cantharides bile même séchée glandes et autres substances dorigine animale utilisées pour la préparation de produits pharmaceutiques fraîches réfrigérées congelées ou autrement conservées de façon provisoire|510
Heifers \female bovines that have never calved\ of a weight > 300 kg for slaughter|Génisses [bovins femelles qui n’ont jamais vêlé] d’un poids > 300 kg destinées à la boucherie|102
Peel of citrus fruit or melons incl. watermelons fresh frozen dried or provisionally preserved in brine or in water with other additives|Écorces dagrumes ou de melons - y.c. de pastèques - fraîches congelées présentées dans leau salée soufrée ou additionnée dautres substances servant à assurer provisoirement leur conservation ou bien séchées|814
Mate|Maté|903
Wheat gluten whether or not dried|Gluten de froment [blé] même à létat sec|1109
Copra|Coprah|1203
Cereal straw and husks unprepared whether or not chopped ground pressed or in the form of pellets|Pailles et balles de céréales brutes même hachées moulues pressées ou agglomérées sous forme de pellets|1213
Frozen boneless cuts of sheep|Viandes désossées dovins congelées|204
Hard rubber e.g. ebonite in all forms incl. waste and scrap articles of hard rubber n.e.s.|Caoutchouc durci [ébonite p.ex.] sous toutes formes y.c. les déchets et débris ouvrages en caoutchouc durci n.d.a.|4017
Wood wool wood flour \wood powder able to pass through a fine\ 063 mm mesh sieve with a residue of <= 8% by weight|Laine [paille] de bois farine de bois cest-à-dire la poudre de bois passant avec au maximum 8% en poids de déchets au tamis ayant une ouverture de mailles de 063 mm|4405
Other animal fats and oils and their fractions whether or not refined but not chemically modified (excl. pig fat poultry fat fats of bovine animals sheep and goats fats of fish and other marine animals lard stearin lard oil oloestearin oleo-oil tallow oil wool grease and fatty substances derived therefrom)|Graisses et huiles animales et leurs fractions même raffinées mais non chimiquement modifiées (à lexcl. des graisses et huiles de porcins de volailles de bovins dovins de caprins de poissons et de mammifères marins ainsi que de la stéarine solaire de lhuile de saindoux de loléostéarine de loléomargarine de lhuile de suif de la graisse de suint et des substances grasses dérivées)|1506
